20190327_123539_009_00332

Index,Time,ALGFB,ALGFB,ALGFB,ALGFB,ALGCMD,POSF,POSF,TCMD,
,msec,0.01MPa,0.01MPa,0.01MPa,0.01MPa,0.01MPa,um,um,0.1%,
0,0,250,251,262,260,349,0,0,50,
1,1,250,259,258,251,349,0,4497,50,
2,2,250,258,258,250,349,0,3627,50,
3,3,250,259,256,251,349,0,2755,50,
4,4,249,259,256,251,349,0,1887,50,
5,5,249,259,256,251,349,0,1019,50,
6,6,249,258,257,251,349,0,154,50,
7,7,250,259,257,251,349,0,-711,50,
8,8,249,260,258,251,349,0,-1577,50,
9,9,250,258,257,251,349,0,-2441,50,
10,10,249,259,257,251,349,0,-3304,50,
11,11,249,259,257,251,349,0,-4164,50,
12,12,249,259,256,251,349,0,-5026,50,
13,13,249,259,256,250,349,0,-5887,50,
14,14,250,258,258,250,349,0,-6746,50,
15,15,251,258,257,251,349,0,-7603,50,
16,16,250,259,257,251,349,0,-8459,50,
17,17,250,259,258,251,349,0,-9316,50,
18,18,249,258,256,251,349,0,-10172,50,
19,19,249,259,256,251,349,0,-11026,50,
20,20,249,258,257,251,349,0,-11878,50,
21,21,249,259,256,251,349,0,-12731,50,
22,22,250,260,257,250,349,0,-13584,50,
23,23,250,259,257,251,349,0,-14431,50,
24,24,250,259,257,251,349,0,-15277,50,
25,25,250,258,257,251,349,0,-16127,50,
26,26,250,259,257,250,349,0,-16976,50,
27,27,249,259,257,250,349,0,-17824,50,
28,28,250,259,257,251,349,0,-18666,50,
29,29,249,259,257,251,349,0,-19510,50,
30,30,250,259,258,251,349,0,-20355,50,
31,31,250,259,257,251,349,0,-21196,50,
32,32,248,259,257,250,349,0,-22033,50,
33,33,249,259,257,250,349,0,-22874,50,
34,34,248,258,256,249,349,0,-23715,50,
35,35,250,258,257,250,349,0,-24550,50,
36,36,250,259,257,251,349,0,-25385,50,
37,37,249,258,257,251,349,0,-26221,50,
38,38,249,258,258,251,349,0,-27053,50,
39,39,250,259,257,251,349,0,-27888,49,
40,40,249,260,258,251,349,0,-28719,49,
41,41,250,258,257,251,349,0,-29549,49,
42,42,250,258,257,250,349,0,-30377,49,
43,43,249,259,258,250,349,0,-31205,49,
44,44,250,260,257,250,349,0,-32033,49,
45,45,250,259,257,250,349,0,-32861,49,
46,46,250,260,256,251,349,0,-33680,49,
47,47,250,258,256,251,349,0,-34505,50,
48,48,249,258,257,250,349,0,-35329,49,
49,49,250,259,258,252,349,0,-36149,50,
50,50,248,259,257,251,349,0,-36969,50,
51,51,248,259,258,251,349,0,-37789,49,
52,52,249,260,257,250,349,0,-38611,49,
53,53,250,259,257,251,349,0,-39428,49,
54,54,250,258,256,251,349,0,-40240,49,
55,55,250,259,256,251,349,0,-41051,49,
56,56,251,259,257,251,349,0,-41867,49,
57,57,251,260,256,251,349,0,-42681,49,
58,58,249,258,258,251,349,0,-43488,49,
59,59,250,259,257,250,349,0,-44299,49,
60,60,250,260,258,251,349,0,-45110,49,
61,61,249,258,257,252,349,0,-45915,49,
62,62,248,259,257,251,349,0,-46722,50,
63,63,249,259,257,251,349,0,-47528,49,
64,64,249,259,257,251,349,0,-48333,49,
65,65,249,259,257,251,349,0,-49136,49,
66,66,250,259,257,251,349,0,-49939,49,
67,67,250,259,257,251,349,0,-50743,49,
68,68,250,259,258,251,349,0,-51547,49,
69,69,250,259,257,250,349,0,-52339,49,
70,70,250,259,257,251,349,0,-53136,49,
71,71,249,259,256,250,349,0,-53936,49,
72,72,250,259,257,251,349,0,-54735,49,
73,73,248,259,257,251,349,0,-55529,49,
74,74,250,259,256,250,349,0,-56323,49,
75,75,249,260,257,250,349,0,-57120,49,
76,76,250,260,257,250,349,0,-57918,49,
77,77,251,260,257,251,349,0,-58705,49,
78,78,250,260,257,251,349,0,-59496,49,
79,79,251,259,257,250,349,0,-60290,49,
80,80,250,259,257,250,349,0,-61082,49,
81,81,251,259,256,250,349,0,-61868,49,
82,82,248,258,256,250,349,0,-62654,49,
83,83,250,258,257,251,349,0,-63444,49,
84,84,250,259,258,251,349,0,-64235,49,
85,85,248,258,257,251,349,0,-65019,49,
86,86,248,258,257,250,349,0,-65802,49,
87,87,249,259,256,251,349,0,-66586,49,
88,88,249,258,257,251,349,0,-67370,49,
89,89,248,259,257,251,349,0,-68151,49,
90,90,250,259,257,251,349,0,-68930,49,
91,91,249,258,256,251,349,0,-69711,49,
92,92,249,260,258,251,349,0,-70493,49,
93,93,250,259,256,251,349,0,-71273,49,
94,94,250,257,256,251,349,0,-72051,49,
95,95,251,259,257,251,349,0,-72830,49,
96,96,250,259,256,252,349,0,-73611,49,
97,97,250,259,256,250,349,0,-74386,49,
98,98,250,259,256,251,349,0,-75157,49,
99,99,249,259,257,252,349,0,-75933,49,
100,100,248,258,256,251,349,0,-76708,49,
101,101,250,260,256,250,349,0,-77478,49,
102,102,251,259,256,250,349,0,-78247,49,
103,103,250,258,257,250,349,0,-79019,49,
104,104,249,259,257,251,349,0,-79792,49,
105,105,249,259,257,250,349,0,-80561,49,
106,106,249,259,258,250,349,0,-81330,49,
107,107,248,258,257,251,349,0,-82097,49,
108,108,249,259,256,251,349,0,-82868,49,
109,109,249,258,256,251,349,0,-83630,49,
110,110,251,257,257,251,349,0,-84396,49,
111,111,251,258,258,251,349,0,-85161,49,
112,112,250,260,257,251,349,0,-85927,49,
113,113,250,258,258,251,349,0,-86688,49,
114,114,249,259,256,250,349,0,-87448,49,
115,115,249,259,256,250,349,0,-88213,49,
116,116,250,258,256,251,349,0,-88976,49,
117,117,249,260,257,251,349,0,-89736,49,
118,118,250,259,256,250,349,0,-90494,49,
119,119,249,259,257,251,349,0,-91254,49,
120,120,249,259,257,251,349,0,-92013,49,
121,121,249,259,257,251,349,0,-92770,49,
122,122,250,259,257,250,349,0,-93525,49,
123,123,250,259,256,250,349,0,-94280,49,
124,124,249,259,257,251,349,0,-95034,49,
125,125,250,259,257,252,349,0,-95789,48,
126,126,250,259,256,251,349,0,-96544,49,
127,127,250,258,256,251,349,0,-97295,48,
128,128,250,259,257,250,349,0,-98046,48,
