21/06/11/ 13:10:26
Gain= 20dB   HPF=30kHz
Mode=10msecモード
　　
Time,Number,Amplitude(mV),Energy,RMS(mV)
13:10:26:5, 0, 259, 4526364, 39,
13:10:26:5, 1, 242, 4221824, 39,
13:10:26:5, 2, 350, 4493123, 39,
13:10:26:5, 3, 254, 4515642, 39,
13:10:26:5, 4, 242, 4407226, 39,
13:10:26:5, 5, 266, 4805827, 39,
13:10:26:5, 6, 254, 4527563, 39,
13:10:26:5, 7, 234, 4248171, 39,
13:10:26:6, 8, 279, 4707615, 39,
13:10:26:6, 9, 328, 4604627, 39,
13:10:26:6, 10, 272, 4414079, 39,
13:10:26:6, 11, 229, 4301353, 39,
13:10:26:6, 12, 272, 4303140, 39,
13:10:26:6, 13, 235, 4316294, 39,
13:10:26:6, 14, 247, 4248049, 39,
13:10:26:6, 15, 255, 4170343, 39,
13:10:26:6, 16, 256, 4130928, 39,
13:10:26:6, 17, 267, 4605123, 39,
13:10:26:6, 18, 248, 4395940, 39,
13:10:26:6, 19, 306, 4236000, 39,
13:10:26:6, 20, 244, 4356588, 39,
13:10:26:6, 21, 313, 4986193, 39,
13:10:26:6, 22, 258, 4890605, 39,
13:10:26:6, 23, 234, 4467146, 39,
13:10:26:6, 24, 253, 4259418, 39,
13:10:26:7, 25, 228, 4316959, 39,
13:10:26:7, 26, 273, 4400959, 39,
13:10:26:7, 27, 225, 4313934, 39,
13:10:26:7, 28, 253, 4185019, 39,
13:10:26:7, 29, 276, 4336786, 39,
13:10:26:7, 30, 261, 4954296, 39,
13:10:26:7, 31, 272, 4254246, 39,
13:10:26:7, 32, 263, 5114554, 39,
13:10:26:7, 33, 247, 4660931, 39,
13:10:26:7, 34, 272, 4429599, 39,
13:10:26:8, 35, 323, 5680186, 78,
13:10:26:8, 36, 217, 4558698, 39,
13:10:26:8, 37, 232, 4464298, 39,
13:10:26:8, 38, 243, 4243207, 39,
13:10:26:8, 39, 252, 4582676, 39,
13:10:26:8, 40, 358, 4884967, 39,
13:10:26:8, 41, 244, 4694607, 39,
13:10:26:8, 42, 210, 4047936, 39,
13:10:26:8, 43, 361, 4494542, 39,
13:10:26:8, 44, 317, 4306689, 39,
13:10:26:9, 45, 228, 4159881, 39,
13:10:26:9, 46, 278, 4317023, 39,
13:10:26:9, 47, 244, 4305040, 39,
13:10:26:9, 48, 254, 4259437, 39,
13:10:26:9, 49, 255, 4476364, 39,
13:10:26:9, 50, 237, 4321763, 39,
13:10:26:9, 51, 307, 4337029, 39,
13:10:26:9, 52, 243, 4555245, 39,
13:10:26:9, 53, 239, 4402042, 39,
13:10:27:0, 54, 336, 4688097, 39,
13:10:27:0, 55, 234, 4397936, 39,
