21/06/11/ 13:11:40
Gain= 10dB   HPF=30kHz
Mode=10msecモード
　　
Time,Number,Amplitude(mV),Energy,RMS(mV)
13:11:40:8, 0, 368, 5871594, 78,
13:11:40:8, 1, 345, 3931417, 39,
13:11:40:8, 2, 135, 2474837, 39,
13:11:40:8, 3, 117, 2041580, 39,
13:11:40:8, 4, 128, 1931506, 39,
13:11:40:8, 5, 104, 1958691, 39,
13:11:40:8, 6, 158, 2062427, 39,
13:11:40:8, 7, 147, 2248130, 39,
13:11:40:8, 8, 114, 1765450, 1,
13:11:40:8, 9, 92, 1718768, 1,
13:11:40:8, 10, 96, 1722618, 1,
13:11:40:8, 11, 187, 2235951, 39,
13:11:40:8, 12, 145, 2381165, 39,
13:11:40:8, 13, 115, 1899320, 39,
13:11:40:8, 14, 128, 1963380, 39,
13:11:40:8, 15, 99, 1792620, 1,
13:11:40:9, 16, 120, 1870341, 39,
13:11:40:9, 17, 115, 1942471, 39,
13:11:40:9, 18, 201, 2316249, 39,
13:11:40:9, 19, 100, 2024717, 39,
13:11:40:9, 20, 117, 1748506, 1,
13:11:40:9, 21, 107, 1777710, 1,
13:11:40:9, 22, 172, 2283784, 39,
13:11:40:9, 23, 98, 1854558, 39,
13:11:40:9, 24, 107, 1807210, 39,
13:11:40:9, 25, 117, 1833587, 39,
13:11:40:9, 26, 128, 1760199, 1,
13:11:41:0, 27, 124, 1772329, 1,
13:11:41:0, 28, 124, 1839058, 39,
13:11:41:0, 29, 101, 1809305, 39,
13:11:41:0, 30, 114, 1766744, 1,
13:11:41:0, 31, 96, 1782880, 1,
13:11:41:0, 32, 114, 1884227, 39,
13:11:41:0, 33, 140, 2213504, 39,
13:11:41:0, 34, 122, 1998411, 39,
13:11:41:0, 35, 121, 1853366, 39,
13:11:41:1, 36, 113, 1983454, 39,
13:11:41:1, 37, 128, 2057068, 39,
13:11:41:1, 38, 107, 1761464, 1,
13:11:41:1, 39, 101, 1776220, 1,
13:11:41:1, 40, 124, 2106143, 39,
13:11:41:1, 41, 176, 2465541, 39,
13:11:41:1, 42, 114, 1968835, 39,
13:11:41:1, 43, 117, 1966207, 39,
13:11:41:1, 44, 117, 1821156, 39,
13:11:41:1, 45, 115, 1948340, 39,
13:11:41:2, 46, 126, 2165984, 39,
13:11:41:2, 47, 124, 2022401, 39,
13:11:41:2, 48, 96, 1759638, 1,
13:11:41:2, 49, 89, 1773029, 1,
13:11:41:2, 50, 126, 1984188, 39,
13:11:41:2, 51, 115, 1773861, 1,
13:11:41:2, 52, 136, 2219122, 39,
13:11:41:2, 53, 120, 2148014, 39,
13:11:41:2, 54, 105, 1793441, 39,
13:11:41:2, 55, 127, 1809623, 39,
13:11:41:2, 56, 90, 1714181, 1,
13:11:41:3, 57, 98, 1845100, 39,
13:11:41:3, 58, 136, 1935963, 39,
13:11:41:3, 59, 123, 1949611, 39,
13:11:41:3, 60, 126, 2132718, 39,
13:11:41:3, 61, 97, 1903758, 39,
13:11:41:3, 62, 235, 2897123, 39,
13:11:41:3, 63, 106, 1923165, 39,
13:11:41:3, 64, 99, 1875639, 39,
13:11:41:3, 65, 137, 2185654, 39,
13:11:41:4, 66, 104, 1802884, 1,
13:11:41:4, 67, 179, 2255244, 39,
13:11:41:4, 68, 118, 1953217, 39,
13:11:41:4, 69, 143, 2281892, 39,
13:11:41:4, 70, 108, 2157266, 39,
13:11:41:4, 71, 148, 2375794, 39,
13:11:41:4, 72, 107, 1785568, 1,
13:11:41:4, 73, 101, 1775875, 1,
13:11:41:4, 74, 139, 1960759, 39,
13:11:41:4, 75, 111, 1987106, 39,
13:11:41:4, 76, 102, 1792123, 1,
13:11:41:5, 77, 106, 1897877, 39,
13:11:41:5, 78, 114, 1936093, 39,
13:11:41:5, 79, 106, 1875215, 39,
13:11:41:5, 80, 114, 1921520, 39,
13:11:41:5, 81, 145, 2293705, 39,
13:11:41:5, 82, 127, 1987704, 39,
13:11:41:5, 83, 106, 1942823, 39,
13:11:41:5, 84, 99, 1762706, 1,
13:11:41:5, 85, 109, 1932589, 39,
13:11:41:5, 86, 125, 1949552, 39,
13:11:41:6, 87, 154, 2244749, 39,
13:11:41:6, 88, 106, 2028395, 39,
13:11:41:6, 89, 129, 2005300, 39,
13:11:41:6, 90, 126, 1806601, 1,
13:11:41:6, 91, 116, 2030593, 39,
13:11:41:6, 92, 131, 2232453, 39,
13:11:41:6, 93, 109, 1898605, 39,
13:11:41:6, 94, 92, 1707048, 1,
13:11:41:6, 95, 104, 1845980, 39,
13:11:41:6, 96, 118, 1847511, 39,
13:11:41:7, 97, 236, 2500171, 39,
13:11:41:7, 98, 280, 2987690, 39,
13:11:41:7, 99, 276, 2693645, 39,
13:11:41:7, 100, 96, 1908584, 39,
13:11:41:7, 101, 103, 1871484, 39,
13:11:41:7, 102, 140, 2074578, 39,
13:11:41:7, 103, 126, 1816281, 39,
13:11:41:7, 104, 115, 1824493, 39,
13:11:41:7, 105, 97, 1831095, 39,
13:11:41:8, 106, 108, 1773456, 1,
13:11:41:8, 107, 99, 1795086, 1,
13:11:41:8, 108, 105, 1918128, 39,
13:11:41:8, 109, 106, 1771618, 1,
13:11:41:8, 110, 104, 1837068, 39,
13:11:41:8, 111, 185, 2237458, 39,
13:11:41:8, 112, 147, 2333776, 39,
13:11:41:8, 113, 167, 2210482, 39,
13:11:41:8, 114, 109, 1996640, 39,
13:11:41:8, 115, 114, 1875356, 39,
13:11:41:8, 116, 117, 1904652, 39,
13:11:41:9, 117, 127, 2093866, 39,
13:11:41:9, 118, 122, 2180774, 39,
13:11:41:9, 119, 131, 2095723, 39,
13:11:41:9, 120, 126, 1881963, 39,
13:11:41:9, 121, 118, 1851497, 39,
13:11:41:9, 122, 134, 2053420, 39,
13:11:41:9, 123, 131, 2177398, 39,
13:11:41:9, 124, 96, 1802868, 1,
13:11:41:9, 125, 107, 1800031, 1,
13:11:41:9, 126, 95, 1797533, 1,
13:11:42:0, 127, 132, 1834997, 39,
13:11:42:0, 128, 139, 2122112, 39,
13:11:42:0, 129, 132, 1914840, 39,
13:11:42:0, 130, 99, 1789464, 1,
13:11:42:0, 131, 115, 1968049, 39,
13:11:42:0, 132, 96, 1736619, 1,
13:11:42:0, 133, 113, 2012642, 39,
13:11:42:0, 134, 228, 2362875, 39,
13:11:42:0, 135, 93, 1888734, 39,
13:11:42:0, 136, 117, 1860158, 39,
13:11:42:1, 137, 148, 1951325, 39,
13:11:42:1, 138, 146, 2169465, 39,
13:11:42:1, 139, 113, 2052558, 39,
13:11:42:1, 140, 136, 1856229, 39,
13:11:42:1, 141, 106, 1939324, 39,
13:11:42:1, 142, 95, 1786365, 1,
13:11:42:1, 143, 179, 2183146, 39,
13:11:42:1, 144, 144, 2432283, 39,
13:11:42:1, 145, 125, 2013583, 39,
13:11:42:2, 146, 147, 1887617, 39,
13:11:42:2, 147, 99, 1764005, 1,
13:11:42:2, 148, 99, 1813215, 39,
13:11:42:2, 149, 109, 1859833, 39,
13:11:42:2, 150, 107, 1809296, 39,
13:11:42:2, 151, 121, 2063476, 39,
13:11:42:2, 152, 164, 2247500, 39,
13:11:42:2, 153, 102, 2022995, 39,
13:11:42:2, 154, 132, 2338779, 39,
13:11:42:2, 155, 109, 1849560, 39,
13:11:42:2, 156, 163, 2040982, 39,
13:11:42:3, 157, 106, 1776978, 1,
13:11:42:3, 158, 98, 1833521, 39,
13:11:42:3, 159, 104, 1805205, 39,
13:11:42:3, 160, 92, 1805542, 1,
13:11:42:3, 161, 122, 2191193, 39,
13:11:42:3, 162, 112, 1869502, 39,
13:11:42:3, 163, 106, 1908867, 39,
13:11:42:3, 164, 159, 2329305, 39,
13:11:42:3, 165, 113, 1678036, 1,
13:11:42:3, 166, 92, 1792419, 1,
13:11:42:4, 167, 104, 1839800, 39,
13:11:42:4, 168, 146, 2235212, 39,
13:11:42:4, 169, 180, 2444018, 39,
13:11:42:4, 170, 155, 2181966, 39,
13:11:42:4, 171, 112, 1828297, 39,
13:11:42:4, 172, 126, 1854247, 39,
13:11:42:4, 173, 103, 1815496, 39,
13:11:42:4, 174, 107, 1951201, 39,
13:11:42:4, 175, 103, 1887302, 39,
13:11:42:4, 176, 109, 1885086, 39,
13:11:42:5, 177, 98, 1846382, 39,
13:11:42:5, 178, 107, 1869820, 39,
13:11:42:5, 179, 134, 2178917, 39,
13:11:42:5, 180, 102, 1762967, 1,
13:11:42:5, 181, 87, 1778594, 1,
13:11:42:5, 182, 104, 1854255, 39,
13:11:42:5, 183, 106, 1874207, 39,
13:11:42:5, 184, 92, 1843822, 39,
13:11:42:5, 185, 107, 1951795, 39,
13:11:42:6, 186, 110, 1835199, 39,
13:11:42:6, 187, 188, 2313057, 39,
13:11:42:6, 188, 98, 1924523, 39,
13:11:42:6, 189, 145, 1954451, 39,
13:11:42:6, 190, 123, 2122501, 39,
13:11:42:6, 191, 106, 1991857, 39,
13:11:42:6, 192, 172, 2461999, 39,
13:11:42:6, 193, 114, 2013760, 39,
13:11:42:6, 194, 212, 2803781, 39,
13:11:42:6, 195, 182, 2121833, 39,
13:11:42:6, 196, 124, 1924861, 39,
13:11:42:7, 197, 126, 1901094, 39,
13:11:42:7, 198, 168, 2273158, 39,
13:11:42:7, 199, 112, 1846611, 39,
13:11:42:7, 200, 117, 1948825, 39,
13:11:42:7, 201, 123, 1871552, 39,
13:11:42:7, 202, 103, 1854668, 39,
13:11:42:7, 203, 140, 2100546, 39,
13:11:42:7, 204, 117, 2119050, 39,
13:11:42:7, 205, 114, 1818882, 39,
13:11:42:7, 206, 123, 1810329, 1,
13:11:42:8, 207, 110, 1817367, 39,
13:11:42:8, 208, 89, 1711199, 1,
13:11:42:8, 209, 95, 1754813, 1,
13:11:42:8, 210, 106, 1700952, 1,
13:11:42:8, 211, 132, 1949467, 39,
13:11:42:8, 212, 113, 1894293, 39,
13:11:42:8, 213, 120, 2023755, 39,
13:11:42:8, 214, 139, 2165946, 39,
13:11:42:8, 215, 130, 2043569, 39,
13:11:42:9, 216, 125, 2051383, 39,
13:11:42:9, 217, 96, 1921184, 39,
13:11:42:9, 218, 204, 2126619, 39,
13:11:42:9, 219, 161, 2292641, 39,
13:11:42:9, 220, 154, 2294864, 39,
13:11:42:9, 221, 218, 2560105, 39,
13:11:42:9, 222, 165, 2364194, 39,
13:11:42:9, 223, 153, 2411104, 39,
13:11:42:9, 224, 93, 1853217, 39,
13:11:42:9, 225, 109, 1856023, 39,
13:11:43:0, 226, 161, 2038100, 39,
13:11:43:0, 227, 138, 2238311, 39,
13:11:43:0, 228, 172, 2086738, 39,
13:11:43:0, 229, 167, 2533686, 39,
13:11:43:0, 230, 105, 1895268, 39,
13:11:43:0, 231, 123, 2014646, 39,
13:11:43:0, 232, 98, 1864089, 39,
13:11:43:0, 233, 125, 2127842, 39,
13:11:43:0, 234, 145, 1976828, 39,
13:11:43:0, 235, 111, 1795344, 39,
13:11:43:0, 236, 147, 2048774, 39,
13:11:43:1, 237, 107, 1759722, 1,
13:11:43:1, 238, 154, 2283970, 39,
13:11:43:1, 239, 155, 2362610, 39,
13:11:43:1, 240, 142, 2383044, 39,
13:11:43:1, 241, 136, 2048012, 39,
13:11:43:1, 242, 125, 1887254, 39,
13:11:43:1, 243, 104, 1809882, 39,
13:11:43:1, 244, 113, 1844351, 39,
13:11:43:1, 245, 111, 1870283, 39,
13:11:43:1, 246, 101, 1718249, 1,
13:11:43:2, 247, 98, 1793129, 1,
13:11:43:2, 248, 145, 2204840, 39,
13:11:43:2, 249, 107, 1956206, 39,
13:11:43:2, 250, 99, 1759609, 1,
13:11:43:2, 251, 102, 1891188, 39,
13:11:43:2, 252, 92, 1823597, 39,
13:11:43:2, 253, 117, 1818540, 39,
13:11:43:2, 254, 122, 1761024, 1,
13:11:43:2, 255, 96, 1781660, 1,
13:11:43:2, 256, 139, 1955144, 39,
13:11:43:3, 257, 145, 1892280, 39,
13:11:43:3, 258, 109, 1859557, 39,
13:11:43:3, 259, 96, 1819627, 39,
13:11:43:3, 260, 109, 1917096, 39,
13:11:43:3, 261, 106, 1842518, 39,
13:11:43:3, 262, 114, 1899964, 39,
13:11:43:3, 263, 118, 2034279, 39,
13:11:43:3, 264, 106, 1816133, 39,
13:11:43:3, 265, 107, 1888062, 39,
13:11:43:4, 266, 109, 1926159, 39,
13:11:43:4, 267, 136, 2137951, 39,
13:11:43:4, 268, 117, 1966096, 39,
13:11:43:4, 269, 110, 1829400, 39,
13:11:43:4, 270, 83, 1771404, 1,
13:11:43:4, 271, 111, 1881057, 39,
13:11:43:4, 272, 142, 2137382, 39,
13:11:43:4, 273, 162, 2339933, 39,
13:11:43:4, 274, 128, 1915972, 39,
13:11:43:4, 275, 100, 1801181, 1,
13:11:43:4, 276, 110, 1764070, 1,
13:11:43:5, 277, 120, 1999878, 39,
13:11:43:5, 278, 111, 1832616, 39,
13:11:43:5, 279, 135, 2376688, 39,
13:11:43:5, 280, 141, 1907285, 39,
13:11:43:5, 281, 106, 1804467, 1,
13:11:43:5, 282, 108, 1889309, 39,
13:11:43:5, 283, 112, 1895802, 39,
13:11:43:5, 284, 104, 1835116, 39,
13:11:43:5, 285, 386, 3214594, 39,
13:11:43:5, 286, 229, 2434626, 39,
13:11:43:6, 287, 105, 1863963, 39,
13:11:43:6, 288, 333, 3599040, 39,
13:11:43:6, 289, 162, 2348155, 39,
13:11:43:6, 290, 112, 2076655, 39,
13:11:43:6, 291, 111, 2096393, 39,
13:11:43:6, 292, 126, 1931604, 39,
13:11:43:6, 293, 159, 1919671, 39,
13:11:43:6, 294, 242, 3044142, 39,
13:11:43:6, 295, 109, 2135594, 39,
13:11:43:6, 296, 150, 2403326, 39,
13:11:43:7, 297, 115, 1917841, 39,
13:11:43:7, 298, 112, 1925990, 39,
13:11:43:7, 299, 145, 2173524, 39,
13:11:43:7, 300, 120, 1926254, 39,
13:11:43:7, 301, 118, 2040750, 39,
13:11:43:7, 302, 109, 2138549, 39,
13:11:43:7, 303, 195, 2952619, 39,
13:11:43:7, 304, 156, 2327148, 39,
13:11:43:7, 305, 136, 1909065, 39,
13:11:43:8, 306, 109, 1749257, 1,
13:11:43:8, 307, 96, 1795431, 1,
13:11:43:8, 308, 114, 1880975, 39,
13:11:43:8, 309, 114, 1897815, 39,
13:11:43:8, 310, 111, 1953213, 39,
13:11:43:8, 311, 110, 1787545, 39,
13:11:43:8, 312, 148, 2066616, 39,
13:11:43:8, 313, 179, 3230125, 39,
